               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  49,            0.041054,           0.0025201,           0.0019652,              0.6477,             0.50884,              0.5527,             0.29461,            0.040681,           0.0012937,           0.0013723,            0.008812,            0.008812,            0.008812
                  50,            0.040853,           0.0025168,           0.0019493,              0.6633,              0.5009,             0.54001,             0.28373,            0.040958,            0.001308,           0.0014155,           0.0087872,           0.0087872,           0.0087872
                  51,            0.040902,           0.0024965,           0.0019496,             0.65625,             0.49516,             0.54111,             0.28517,            0.040543,           0.0013083,           0.0014233,           0.0087625,           0.0087625,           0.0087625
                  52,            0.040421,           0.0024869,           0.0018623,             0.64839,             0.52237,             0.55741,             0.29315,            0.040237,           0.0012979,           0.0013591,           0.0087378,           0.0087378,           0.0087378
                  53,            0.040393,           0.0025032,           0.0019012,             0.64753,             0.52189,             0.54729,             0.28643,            0.040567,            0.001297,           0.0013462,            0.008713,            0.008713,            0.008713
                  54,            0.040404,           0.0025236,           0.0019022,             0.66485,             0.52453,              0.5583,             0.29467,            0.040466,           0.0012982,           0.0013312,           0.0086882,           0.0086882,           0.0086882
                  55,            0.040314,           0.0024749,           0.0018722,             0.66668,               0.526,             0.55372,             0.29591,            0.040407,           0.0013028,           0.0013045,           0.0086635,           0.0086635,           0.0086635
                  56,             0.04021,            0.002484,           0.0018492,             0.66364,              0.5224,             0.55671,             0.30002,            0.040317,           0.0012995,           0.0012675,           0.0086388,           0.0086388,           0.0086388
                  57,            0.039786,           0.0025161,           0.0018371,             0.67044,             0.52294,             0.56118,             0.30509,            0.040428,           0.0012915,            0.001284,            0.008614,            0.008614,            0.008614
                  58,            0.040105,           0.0025047,           0.0018425,             0.67814,             0.52261,             0.56495,             0.30515,            0.040361,           0.0012881,           0.0012851,           0.0085893,           0.0085893,           0.0085893
                  59,            0.040017,           0.0024579,           0.0018475,             0.68084,             0.52395,             0.57136,             0.30744,            0.040215,           0.0012933,           0.0012782,           0.0085645,           0.0085645,           0.0085645
                  60,            0.039781,           0.0024922,           0.0018298,             0.67262,             0.53718,             0.56597,              0.3054,            0.040217,           0.0012962,           0.0012658,           0.0085398,           0.0085398,           0.0085398
                  61,            0.039786,            0.002447,           0.0018479,             0.67331,             0.54296,             0.56459,             0.30271,             0.04026,           0.0012935,           0.0012752,            0.008515,            0.008515,            0.008515
                  62,            0.039767,           0.0024717,           0.0018255,             0.66896,             0.54298,              0.5734,             0.30776,            0.040103,           0.0012927,            0.001272,           0.0084903,           0.0084903,           0.0084903
                  63,            0.039597,           0.0024934,           0.0018116,              0.6588,              0.5331,             0.57267,             0.30617,            0.040146,           0.0012877,           0.0012379,           0.0084655,           0.0084655,           0.0084655
                  64,            0.039697,            0.002492,           0.0018251,             0.63471,             0.54321,             0.57458,             0.30615,            0.040171,            0.001288,           0.0012367,           0.0084408,           0.0084408,           0.0084408
                  65,            0.039421,           0.0024746,           0.0018006,             0.65588,             0.53494,             0.57377,             0.30736,            0.040093,           0.0012923,           0.0012388,            0.008416,            0.008416,            0.008416
                  66,            0.039686,            0.002476,           0.0018386,             0.69857,             0.52166,             0.57192,             0.30824,            0.040183,           0.0012929,           0.0012302,           0.0083913,           0.0083913,           0.0083913
                  67,            0.039211,           0.0025054,           0.0017709,             0.70152,             0.53803,             0.58054,             0.31303,            0.040081,           0.0012901,           0.0012105,           0.0083665,           0.0083665,           0.0083665
                  68,            0.039341,           0.0024583,            0.001763,              0.6864,             0.52698,             0.58409,             0.31585,            0.040079,           0.0012892,           0.0012004,           0.0083418,           0.0083418,           0.0083418
                  69,            0.039344,           0.0024399,           0.0018056,             0.70437,             0.51873,             0.58733,             0.31735,            0.039912,           0.0012868,           0.0012047,            0.008317,            0.008317,            0.008317
                  70,            0.039296,           0.0025015,           0.0017257,             0.66717,             0.52585,             0.58307,             0.31353,            0.039885,           0.0012867,           0.0012252,           0.0082922,           0.0082922,           0.0082922
                  71,            0.039075,           0.0024468,           0.0017795,             0.66162,             0.54669,             0.58559,             0.31228,            0.039786,            0.001284,           0.0012294,           0.0082675,           0.0082675,           0.0082675
                  72,            0.039015,           0.0024654,           0.0017396,             0.67375,             0.53063,             0.58245,             0.31158,            0.039768,           0.0012854,            0.001219,           0.0082428,           0.0082428,           0.0082428
                  73,            0.038988,           0.0024739,           0.0017344,             0.67035,              0.5379,             0.58609,              0.3128,             0.03968,           0.0012867,           0.0012081,            0.008218,            0.008218,            0.008218
                  74,            0.038677,           0.0024402,           0.0017223,             0.66645,             0.53949,             0.58568,             0.31441,            0.039616,           0.0012859,           0.0012076,           0.0081932,           0.0081932,           0.0081932
                  75,            0.038992,           0.0024339,           0.0017608,              0.6757,             0.53059,             0.58364,             0.31447,            0.039636,           0.0012851,           0.0012078,           0.0081685,           0.0081685,           0.0081685
                  76,            0.038881,           0.0024694,            0.001724,             0.66334,             0.53881,             0.58778,             0.31605,            0.039612,           0.0012859,            0.001213,           0.0081437,           0.0081437,           0.0081437
                  77,            0.038985,           0.0024236,           0.0017736,             0.67623,             0.53366,             0.59065,             0.31718,            0.039594,           0.0012854,           0.0012173,            0.008119,            0.008119,            0.008119
                  78,            0.038731,           0.0024648,           0.0016949,             0.68586,             0.53534,             0.58944,             0.31672,            0.039567,            0.001285,           0.0012254,           0.0080942,           0.0080942,           0.0080942
                  79,            0.038653,           0.0024667,           0.0016639,             0.69561,              0.5381,             0.58978,             0.31781,            0.039531,           0.0012859,           0.0012245,           0.0080695,           0.0080695,           0.0080695
                  80,            0.038401,           0.0024155,           0.0016969,             0.68462,             0.54165,             0.59014,             0.32005,            0.039514,            0.001287,           0.0012198,           0.0080447,           0.0080447,           0.0080447
                  81,            0.038501,             0.00248,           0.0016689,             0.68293,             0.54218,             0.58978,             0.31992,             0.03954,           0.0012875,            0.001219,             0.00802,             0.00802,             0.00802
                  82,            0.038505,           0.0024349,           0.0016978,             0.67443,             0.55196,             0.59127,             0.32138,            0.039548,            0.001286,           0.0012153,           0.0079953,           0.0079953,           0.0079953
                  83,            0.038603,            0.002461,           0.0016716,             0.67603,             0.55394,             0.59099,              0.3211,            0.039552,            0.001287,           0.0012102,           0.0079705,           0.0079705,           0.0079705
                  84,            0.038406,           0.0024068,           0.0016614,             0.67374,             0.54934,             0.59197,              0.3205,            0.039539,           0.0012877,           0.0012052,           0.0079457,           0.0079457,           0.0079457
                  85,            0.038285,           0.0024709,           0.0016651,             0.67435,             0.54671,             0.59333,             0.32128,            0.039513,           0.0012883,           0.0012012,            0.007921,            0.007921,            0.007921
                  86,             0.03808,           0.0024431,           0.0016811,             0.66685,             0.54817,             0.59227,             0.32076,            0.039521,           0.0012884,           0.0011958,           0.0078963,           0.0078963,           0.0078963
                  87,            0.038309,           0.0024506,           0.0017074,             0.66929,             0.54845,             0.59318,              0.3227,            0.039531,           0.0012882,           0.0011912,           0.0078715,           0.0078715,           0.0078715
                  88,            0.037941,           0.0024265,           0.0016753,             0.66954,             0.54874,             0.59392,             0.32267,             0.03955,           0.0012877,           0.0011922,           0.0078467,           0.0078467,           0.0078467
                  89,            0.037953,           0.0024162,           0.0016591,             0.66953,             0.55143,             0.59471,             0.32317,            0.039559,           0.0012872,           0.0011954,            0.007822,            0.007822,            0.007822
                  90,            0.037808,           0.0024254,           0.0016239,             0.67458,             0.54858,             0.59789,             0.32422,            0.039533,           0.0012872,           0.0011973,           0.0077973,           0.0077973,           0.0077973
                  91,            0.037941,           0.0024533,           0.0016093,             0.66876,             0.54563,             0.59428,             0.32423,            0.039507,           0.0012866,           0.0011975,           0.0077725,           0.0077725,           0.0077725
                  92,            0.037527,           0.0024255,           0.0016039,             0.67425,              0.5497,             0.59869,             0.32516,            0.039501,           0.0012866,           0.0011993,           0.0077478,           0.0077478,           0.0077478
                  93,            0.037555,           0.0024199,           0.0016043,             0.67399,             0.55076,             0.59699,             0.32542,            0.039488,           0.0012866,           0.0011953,            0.007723,            0.007723,            0.007723
                  94,            0.038015,           0.0024379,           0.0016069,             0.68033,             0.55194,             0.59749,             0.32653,            0.039463,           0.0012858,           0.0011927,           0.0076983,           0.0076983,           0.0076983
                  95,            0.037677,           0.0024178,           0.0016009,             0.67072,              0.5539,             0.59724,             0.32705,            0.039446,           0.0012856,           0.0011909,           0.0076735,           0.0076735,           0.0076735
                  96,            0.037338,           0.0024282,           0.0015955,             0.67179,             0.55357,              0.5995,             0.32807,            0.039436,           0.0012853,           0.0011899,           0.0076488,           0.0076488,           0.0076488
                  97,            0.037461,           0.0024208,           0.0016107,              0.6777,             0.55316,             0.60044,             0.32872,            0.039434,           0.0012845,            0.001187,            0.007624,            0.007624,            0.007624
                  98,            0.037658,           0.0024314,           0.0016207,             0.68268,             0.55239,              0.6013,             0.32915,            0.039423,           0.0012843,           0.0011842,           0.0075993,           0.0075993,           0.0075993
